idx
3
4
0
6
10
960
39
409
218
570
1
86
197
336
577
2
242
449
222
928
718
979
238
69
154
169
330
291
341
460
518
791
916
98
417
56
602
835
84
163
394
500
598
107
389
411
987
212
135
872
880
217
904
917
89
192
226
328
542
624
966
201
229
52
111
210
401
547
950
66
358
739
35
108
186
344
380
489
590
622
984
48
264
309
375
693
727
788
912
36
811
161
456
755
854
55
94
228
450
457
